content,score,Label
"Hallo min, saya mau sedikit komplen soal kebijakan Shopee. point 1. Saya memesan COD dan jasa pengiriman nya itu lewat spx nah sampai lah barang nya cabang jasa kirim antar pulau saya. Di pertengahan barang saya mentok sampai 2minggu telat,udah gitu barang nya di kembali kan ke penjualan.Dengan keterangan(paket akan di kembalikan ke pengirim karena penerima merasa tidak memesan paket.)Padahal paket nya aja saya ngak lihat wujud seperti apa.Nah sya hran sopi kenapa COD sya di non aktif.",3,0
bisa gak sih gk usah muncul iklan terus tiap main game iklan ny kebanyakan ini pas selesai iklan nya malah ke aplikasi ini gk jelas 🤬🤬🤬,1,-1
"kecewa sama ekspedisi shopee express. pesan baju buat dipake konser, pesannya 2 minggu sebelum hari h namun sampai hari h bajunya belum datang datang, padahal estimasinya 3 hari sebelum hari-h loh. dari tanggal 13 pesanannya sudah di kota tujuan namun sampai sekarang belum ada update untuk proses selanjutnya",2,-1
"Aplikasinya banyak bug sekarang, nonton video tiba-tiba ngefreeze terus mau nonton live tiba-tiba gak bisa ditekan. Tolong di perbaiki secepatnya",1,-1
"Sudah pelunasan dengan denda"" dibayarkan tetap data kita tidak berubah tetap jelek tetap masih terbaca menunggak..shoppee cuma bkin susah orang..ambil spinjam.menunggak.tpi sudah dilunasnyakan dengan denda""nya tetap juga data terbaca masih menunggak..bikin orang tdk bisa apa""lqgi karna shopee",1,-1
"Sebenarnya udh nyaman blanja disini, tapi yg sangat disayangkan voucher gratis ongkir 0 Rp gk bisa dipake buat borong banyak barang, limitnya cuma sampe 3 barang aja. Kecewa sih",4,1
"Aplikasi ini sudah baik & mudah untuk memantau pesanan kita, pertahankan dan jangan berhenti berinovasi untuk lebih maju ...Good Job 👍👍👍.",5,1
Selama ini saya belanja merasa puas walupun ada sebagian kecil yg mengecewakan.karena ulah seller yg kurang amanah.pokoknya Shopee mantaplah🙏👍👍👍apalagi dgn opsi cod cek dulu..,5,1
"halo shopee! ini kenapa ya apk sdh beberapa minggu ini beranda tidak muncul, hanya muncul ""tidak ada internet"". Please solusinya, cause sy suka dan sering melakukan pembelian disini, setiap mau mencari barang jadi sulit. tlong respon nya🙏",2,-1
"Berat sekali dan terkadang suka blank, udah gitu pas awal masuk apknya langsung ke video, ngeselin sumpah, benerinlah jadi males kalo gini mau belanjanya 🗿🗿",2,-1
"Pelit banget ngasih gratis ongkir tapi cuma bisa dipake 3x, sisanya masa dibilang kedetek udah pernah dipakai. Ga kaya lazada gratis ongkirnya bisa dipake semua",2,-1
"Aplikasi apa sih ini sangat merugikan penjual, masa banding pengembalian setelah barang sampai, mana selalu ditolak lagi, padahal kesalahan pembeli, bintang 1 aja, nanggung ongkir banyak banget mana yg ngajukan pengembalian juga banyak gara2 selalu di acc sama tim shopee",1,-1
"Sdh pernah pakai mulai dari si Merah,Si Hijau setelah kenal si orange kayaknya ga mau cari yg lain Paket free ongkir nyata,bisa dapat voucher belanja dan andalan spl (beli dulu bayar belakangan)",5,1
Shopee skrng gak kayak awal yg bebas pengembalian sekarang dipersulit sama kayak dulu. Udah gak gampang lagi pengembalian .gitu logo bebas pengembaliannya mending dihapus gak pantes blass dikasih logo itu. Mending belanja di lazada lebih gampang pengembalian nya shopee A*nj*ngg,1,-1
"berat amat njir, yah emang hp nya yang udah artefak tapi emang fitur sana sini banyak sih dan juga, sortirnya bagusan marketplace sebelah nyoba ini langsung bingung karena simple dan gak kerasa sortiran sistemnya",3,0
"Sekarang Setiap kali pengajuan pinjaman pasti lama, butuh waktu berhari-hari, padahal sebelumnya ngga pernah selama ini, sekali klik pengajuan dalam hitungan menit saja sudah masuk, tapi sekarang jadi lama, ngga bisa langsung cair, jadi kita ngga bisa prediksi apabila dalam keadaan urgent. Saat komplain ke cs juga jawabannya sama saja, ngga ada perubahan ngga ada tindakan yang pasti. Hanya disuruh nunggu entah sampai kapan.",1,-1
"Tolong dong SHOPEE, diperbaiki opsi pengiriman untuk LUAR PULAU Jawa KHUSUSNYA DIBAGIAN TIMUR, katanya GRATIS ONGKIR seluruh Indonesia, tetapi NYATANYA FREE ONGKIR TIDAK BERLAKU untuk PENGIRIMAN KEBAGIAN TIMUR. Masak yang menikmati FREE ONGKIR, cuma dsekitaran JAWA saja sih, it's NOT FAIR. Tolonglah SHOPEE diperbaikilah sistemnya, sia-sia kami di bagian Timur sudah belanja banyak selama ini tetapi diskonnya specially LIVE, tidak bisa digunakan.",1,-1
"Makin update makin gk jelas, belanja udh minimal 30rb tpi gratis ongkir cuman terpotong 1/2, tdk sprti dulu smpe 0 rupiah. Walaupun tgl 25, tgl dan bulan kembr sama aja. Tdk jelas",1,-1
"Di profil sih udah login ,tp pas coba ngecek pesan kok disuruh login lagi ,tp pas login gak bisa , muncul pesan 'sistem sedang mengalami gangguan ' ? ,ada solusi ?",5,1
"untuk aplikasi shoppe nya bagus, produk nya juga mantap terus sering ngumpulin koin agar belanjaan murah wajarlah belanja pas ada uang nya 😂 gakpapa lah yang penting apapun shoppe! udah beberapa kali belanja pakai shoppe kadang pakai handphone emak buat belanja shoppe kadang handphone sendiri 😁🤞🏻 untuk rating: 5 Produk : 4 shoppe juga murah-murah, dulu sebelum punya shoppe pakai handphone tetangga untuk beliin barang gitu nanti dibayar. tapi sekarang udah punya handphone sendiri 😇👍🏻.",5,1
"Alhamdulillah selama saya belanja di aplikasi ini, blm ada yg kecewa, soal nya saya belanja pas lagi toko live, jadi saya bisa tanya tanya langsung, dan juga lihat harga jual juga, ada harga pasti ada kualitas nya kan.👍👍",5,1
"please masih sering error Dan memuat halaman terus saat mau check out. Diluar itu semua bagus, banyak promo juga.sip lah",4,1
"Maaf ya shopee.. kyknya AQ ngga belanja lg sm kmu, dulu senang banget belanja pke aplikasi ini walopun aku bkn pedagang cm seorg ibu rmh tangga yg senang belanja smpe jadi member platinum smpe skrg krn senangnya belanja, berhubung suamiQ dipindah tugaskan ke berau khususnya maluang samburakat dsinilah AQ trkendala sm pengantarannya. Trkhusus spx dan JNE hampir smua pesanan sy yg pke jasa ini slalu dikembalikan ke toko. Pdhl dah byr loh. Kecewa sih aplg brg yg Qpesan dah hbs barangnya..",3,0
Alhamdulillah dengan ada nya shopee ingin belanja apa saja g perlu keluar rumah. Dengan harga yg terjangkau dan pengiriman yg cepat semua jd mudah terwujud. Terima kasih banyak shopee sangat membantu,5,1
"Sangat kecewa sekali kenapa sekarang biaya admin nya mahal, saya sbg penjual merasakan keberatan dulu biaya admin nya 5000 an sekarang hampir 10rb untuk produk nominal 100rb.",1,-1
"Selama sudah update,semakin tidak beres ini shopee. Tambah lalod semua,belum lagi shopee tanamnya tambah berkurang airnya. Mohonlah jangan pelit-pelit kalau mau berbagi.",1,-1
"Ini kalian ada nggak sih yang main Shopee pet game? Kalian ngerasa nggak sih di bagian olahraga itu akhir2 ini berasa lawan pake bot jadi jarang banget menang no 1? Gilak kasihan HP nya diketuk-ketuk secepat apapun tapi tetep aja pasti kalah. HP rusak iya, menang kaga",1,-1
Sangat membantu untuk mencari barang yang di inginkan dan saya selau dapat promo gratis ongkir seneng banget pertahankan dan tolong buat devfeloper apk nya terkadang suka ada bug dan kenpa ya limited saya di bekukan terimakasih terus tingkatkan lagi.,5,1
Shopee ini menurut saya enak nya kalo mau beli tingal pilih apa yg saya ingin belanja pasti ada. Kren harga nya juga kadang ketemu yg terjakau. Ok mantapp..,5,1
Kembalikan gratis ongkir 100% nyaaaaa . Gilaaaakk bulan lalu masih gratis ongkir 100% lho tp bulan ini gak ada gratis ongkir malah lebih mahal ongkirnya dari pada harga barangnya . Kembalikan gratis ongkir 😭,1,-1
"Sejauh ini MP yg paling memuaskan, meski masih ada bug atau error di aplikasinya. Tinggal perlu inspeksi lagi sama toko yg udah lama gak aktif dan toko yg ada indikasi penipuan. Kalau bisa kurirnya lebih diperhatikan lagi jangan sampe ada kasus kurir nilep barang costumer kaya di kurir sebelah",4,1
"Shope kenapa sekarang pengirman sangat lama ya,itupun sangat terlambat, di estimasi tanggal 13 - 14 udah Dateng ini sampe tanggal 18 malem belum Dateng!! Oke lah kalau telat ya 1 atau 2 hari aja ga sampe lebih!! Tolong diperbaiki lagi ..",3,0
"Shopee semakin pelit, semakin hari semakin pelit voucher gratis ongkir tidak seperti dulu, dan untuk aplikasi nya juga sering lemot. Makin kecewa dengan Shopee",1,-1
"Dapatkan Voucher Rp. 10.000 jika pesanan belum tiba. Mustahil dapat itu voucher sampai kapanpun tidak akan perna dapat! ""Pesanan masih di lokasi sortir, seharusnya dapat voucher tanggal garansinya otomatis perpanjang!""",1,-1
"Sangat nyaman dan banyak diskonnya juga, terimakasih, aplikasinya membantu banget buat yang jual dan yang beli. Meskipun kadang ongkirnya suka besar",5,1
"aplikasi nya ga jelasss pas mau cek sesuatu selalu ada notif "" koneksi tidak tersddia"" padahal jaringan nya aman aman aja, mending cepat di perbaiki deh bikin kesel aja padahal sinyal nya bagus eh malah ada notifikasi ga jelasss",1,-1
"Semoga bisa dipertahankan yg sudah bagus. 1. Kecepatan pengiriman 2. Kemudahan retour 3. Gratis ongkir retour. Membuat pelanggan terbantukan. Untuk aplikasi bagusnya begitu buka jangan langsung disuguhin video live, jadi serasa ogah mbuka kembali. Kalau emang pelanggan perlu video pasti akan cari video yg dibutuhkan.",4,1
shopee... dari 10 pembelian.. 4 toko penipu.. sudah dilaporkan.. ga ada tindakan..tokonya masih ada dan bisa live.. salah satu contoh penjual nomer cantik ini.. setelah beli mahal. disuruh tunggu 10 hari lalu kasih bintang 5 dan ternyata.. nomer palsu dan sudah expayed.. laporan.. mana ada ..shope bertindak gitu..mending lazada..,1,-1
👍👍👍👍👍 Sejauh ini belanja d shopee aku cukup puas barangnya 85% real sesuai dengn deskripsi. Meski kadang ada beberapa toko yg kurang bertanggung jawab. Secara keseluruhan shopee sangat membantu saya dalam berbelanja.,5,1
"Dari sisi baiknya belanja gak ribet barang bisa datang tanpa harus dijemput Dari sisi buruknya banyak produk Abal Abal atau palsu yg dijual,banyak penipuan berkedok penjual,,jadi kita harus bijak belanja online dgn shoppe",5,1
"sistem kunci wajah yang sangat merepotkan bisa bisanya ketika ganti hp kunci wajah tidak merespon baik, sebaiknya face lock nya dihapus aja akibatnya akun saya yang dipake dari dlu terpaksa tidak bisa dibuka mau di perbaiki juga ribet",1,-1
"1.Tiap bulan ada Promo Puncak tapi voucher di klaim selalu HABIS dan semua Diskon serta potongan harga tidak bisa di gunakan dengan alasan sudah habis padahal saya sudah pakai shopee 5 tahun 2.Ongkir ke Maluku dan Papua sangat tinggi walaupun ada flash sale tiap awal dan akhir bulan, mudah-mudahan bisa di turunkan harga ongkirnya sesuai ilkan Shopee",2,-1
"cukup praktis untuk berbelanja , sangat membantu orang yang suka rebahan seperti saya ini , akan tetapi banyak kendala setelah ganti hape baru pasti vocer terdeteksi kesalahan , jadi tidak bisa di gunakan",4,1
"Sangat membantu dalam berbelanja tanpa harus keluar rumah, namun sangat disayangkan pay later cicilan nya susah tidak seperti aku laku lngsung dapat limit",5,1
"Belanja selalu aman dan nyaman, apalagi skrg ada fitur pembayaran cod cek dulu. Menurut saya itu bagus sekali untuk custumer yg melakukan pembayaran secara cod jd bisa mengecdk dl barangnya.",5,1
"Shopee tampilan baru malah gak nyaman.... mending yg sblm pembaharuan, di live malah gak bisa komen dan ada tulisan di blokir... tapi di smua yg live... kenapa bgtu, trs di pengiriman malah susah ngklik.. jdininfo gak tampil... tolong Shopee perbaharui lagi yaa...",4,1
"Online shop yang recommend banget, banyak promo nya yg sesuai dengan kantong kita..hehehehe...semoga kedepannya lebih banyak promo yg hebat lagi...",5,1
"Kenapa dibagian fitur ""dikemas"" padahal sudah selesai pengiriman tetap ada jumplah pemesanan barang ya padahal juga sudah coba install ulang tetap",4,1
"Ekspedisi spx nya udah mulai ga jelas. Biasanya paket 4 hari udah sampe, sekarang 10 harian bahkan lebih, Bahkan udah berapa kali kuga paket ga di antar ke konsumen tapi langsung di return lg ke toko..",2,-1
