content,score,Label,textCaseFolding,textStopWord,textClean,textTokens,textSteam
"Hallo min, saya mau sedikit komplen soal kebijakan Shopee. point 1. Saya memesan COD dan jasa pengiriman nya itu lewat spx nah sampai lah barang nya cabang jasa kirim antar pulau saya. Di pertengahan barang saya mentok sampai 2minggu telat,udah gitu barang nya di kembali kan ke penjualan.Dengan keterangan(paket akan di kembalikan ke pengirim karena penerima merasa tidak memesan paket.)Padahal paket nya aja saya ngak lihat wujud seperti apa.Nah sya hran sopi kenapa COD sya di non aktif.",3,0,"hallo min, saya mau sedikit komplen soal kebijakan shopee. point 1. saya memesan cod dan jasa pengiriman nya itu lewat spx nah sampai lah barang nya cabang jasa kirim antar pulau saya. di pertengahan barang saya mentok sampai 2minggu telat,udah gitu barang nya di kembali kan ke penjualan.dengan keterangan(paket akan di kembalikan ke pengirim karena penerima merasa tidak memesan paket.)padahal paket nya aja saya ngak lihat wujud seperti apa.nah sya hran sopi kenapa cod sya di non aktif.","hallo min, komplen kebijakan shopee. point 1. memesan cod jasa pengiriman nya spx barang nya cabang jasa kirim pulau saya. pertengahan barang mentok 2minggu telat,udah gitu barang nya penjualan.dengan keterangan(paket kembalikan pengirim penerima memesan paket.)padahal paket nya aja ngak lihat wujud apa.nah sya hran sopi cod sya non aktif.","hallo min, komplen kebijakan shopee. point 1. memesan cod jasa pengiriman nya spx barang nya cabang jasa kirim pulau saya. pertengahan barang mentok 2minggu telat,udah gitu barang nya penjualan.dengan keterangan(paket kembalikan pengirim penerima memesan paket.)padahal paket nya aja ngak lihat wujud apa.nah sya hran sopi cod sya non aktif.","['hallo', 'min', ',', 'komplen', 'kebijakan', 'shopee', '.', 'point', '1.', 'memesan', 'cod', 'jasa', 'pengiriman', 'nya', 'spx', 'barang', 'nya', 'cabang', 'jasa', 'kirim', 'pulau', 'saya', '.', 'pertengahan', 'barang', 'mentok', '2minggu', 'telat', ',', 'udah', 'gitu', 'barang', 'nya', 'penjualan.dengan', 'keterangan', '(', 'paket', 'kembalikan', 'pengirim', 'penerima', 'memesan', 'paket', '.', ')', 'padahal', 'paket', 'nya', 'aja', 'ngak', 'lihat', 'wujud', 'apa.nah', 'sya', 'hran', 'sopi', 'cod', 'sya', 'non', 'aktif', '.']",hallo min  komplen bijak shopee  point 1 mes cod jasa kirim nya spx barang nya cabang jasa kirim pulau saya  tengah barang mentok 2minggu telat  udah gitu barang nya jual dengan terang  paket kembali kirim terima mes paket   padahal paket nya aja ngak lihat wujud apa nah sya hran sopi cod sya non aktif 
bisa gak sih gk usah muncul iklan terus tiap main game iklan ny kebanyakan ini pas selesai iklan nya malah ke aplikasi ini gk jelas 🤬🤬🤬,1,-1,bisa gak sih gk usah muncul iklan terus tiap main game iklan ny kebanyakan ini pas selesai iklan nya malah ke aplikasi ini gk jelas 🤬🤬🤬,gak sih gk muncul iklan main game iklan ny kebanyakan pas selesai iklan nya aplikasi gk 🤬🤬🤬,gak sih gk muncul iklan main game iklan ny kebanyakan pas selesai iklan nya aplikasi gk ,"['gak', 'sih', 'gk', 'muncul', 'iklan', 'main', 'game', 'iklan', 'ny', 'kebanyakan', 'pas', 'selesai', 'iklan', 'nya', 'aplikasi', 'gk']",gak sih gk muncul iklan main game iklan ny banyak pas selesai iklan nya aplikasi gk
"kecewa sama ekspedisi shopee express. pesan baju buat dipake konser, pesannya 2 minggu sebelum hari h namun sampai hari h bajunya belum datang datang, padahal estimasinya 3 hari sebelum hari-h loh. dari tanggal 13 pesanannya sudah di kota tujuan namun sampai sekarang belum ada update untuk proses selanjutnya",2,-1,"kecewa sama ekspedisi shopee express. pesan baju buat dipake konser, pesannya 2 minggu sebelum hari h namun sampai hari h bajunya belum datang datang, padahal estimasinya 3 hari sebelum hari-h loh. dari tanggal 13 pesanannya sudah di kota tujuan namun sampai sekarang belum ada update untuk proses selanjutnya","kecewa ekspedisi shopee express. pesan baju dipake konser, pesannya 2 minggu h h bajunya datang, estimasinya 3 hari-h loh. tanggal 13 pesanannya kota tujuan update proses","kecewa ekspedisi shopee express. pesan baju dipake konser, pesannya 2 minggu h h bajunya datang, estimasinya 3 hari-h loh. tanggal 13 pesanannya kota tujuan update proses","['kecewa', 'ekspedisi', 'shopee', 'express', '.', 'pesan', 'baju', 'dipake', 'konser', ',', 'pesannya', '2', 'minggu', 'h', 'h', 'bajunya', 'datang', ',', 'estimasinya', '3', 'hari-h', 'loh', '.', 'tanggal', '13', 'pesanannya', 'kota', 'tujuan', 'update', 'proses']",kecewa ekspedisi shopee express  pesan baju dipake konser  pesan 2 minggu h h baju datang  estimasi 3 hari-h loh  tanggal 13 pesan kota tuju update proses
"Aplikasinya banyak bug sekarang, nonton video tiba-tiba ngefreeze terus mau nonton live tiba-tiba gak bisa ditekan. Tolong di perbaiki secepatnya",1,-1,"aplikasinya banyak bug sekarang, nonton video tiba-tiba ngefreeze terus mau nonton live tiba-tiba gak bisa ditekan. tolong di perbaiki secepatnya","aplikasinya bug sekarang, nonton video ngefreeze nonton live gak ditekan. tolong perbaiki secepatnya","aplikasinya bug sekarang, nonton video ngefreeze nonton live gak ditekan. tolong perbaiki secepatnya","['aplikasinya', 'bug', 'sekarang', ',', 'nonton', 'video', 'ngefreeze', 'nonton', 'live', 'gak', 'ditekan', '.', 'tolong', 'perbaiki', 'secepatnya']",aplikasi bug sekarang  nonton video ngefreeze nonton live gak tekan  tolong baik cepat
"Sudah pelunasan dengan denda"" dibayarkan tetap data kita tidak berubah tetap jelek tetap masih terbaca menunggak..shoppee cuma bkin susah orang..ambil spinjam.menunggak.tpi sudah dilunasnyakan dengan denda""nya tetap juga data terbaca masih menunggak..bikin orang tdk bisa apa""lqgi karna shopee",1,-1,"sudah pelunasan dengan denda"" dibayarkan tetap data kita tidak berubah tetap jelek tetap masih terbaca menunggak..shoppee cuma bkin susah orang..ambil spinjam.menunggak.tpi sudah dilunasnyakan dengan denda""nya tetap juga data terbaca masih menunggak..bikin orang tdk bisa apa""lqgi karna shopee","pelunasan denda"" dibayarkan data berubah jelek terbaca menunggak..shoppee bkin susah orang..ambil spinjam.menunggak.tpi dilunasnyakan denda""nya data terbaca menunggak..bikin orang tdk apa""lqgi karna shopee","pelunasan denda"" dibayarkan data berubah jelek terbaca menunggak..shoppee bkin susah orang..ambil spinjam.menunggak.tpi dilunasnyakan denda""nya data terbaca menunggak..bikin orang tdk apa""lqgi karna shopee","['pelunasan', 'denda', ""''"", 'dibayarkan', 'data', 'berubah', 'jelek', 'terbaca', 'menunggak', '..', 'shoppee', 'bkin', 'susah', 'orang', '..', 'ambil', 'spinjam.menunggak.tpi', 'dilunasnyakan', 'denda', ""''"", 'nya', 'data', 'terbaca', 'menunggak', '..', 'bikin', 'orang', 'tdk', 'apa', ""''"", 'lqgi', 'karna', 'shopee']",lunas denda  bayar data ubah jelek baca tunggak  shoppee bkin susah orang  ambil spinjam tunggak tpi dilunasnyakan denda  nya data baca tunggak  bikin orang tdk apa  lqgi karna shopee
"Sebenarnya udh nyaman blanja disini, tapi yg sangat disayangkan voucher gratis ongkir 0 Rp gk bisa dipake buat borong banyak barang, limitnya cuma sampe 3 barang aja. Kecewa sih",4,1,"sebenarnya udh nyaman blanja disini, tapi yg sangat disayangkan voucher gratis ongkir 0 rp gk bisa dipake buat borong banyak barang, limitnya cuma sampe 3 barang aja. kecewa sih","udh nyaman blanja disini, yg disayangkan voucher gratis ongkir 0 rp gk dipake borong barang, limitnya sampe 3 barang aja. kecewa sih","udh nyaman blanja disini, yg disayangkan voucher gratis ongkir 0 rp gk dipake borong barang, limitnya sampe 3 barang aja. kecewa sih","['udh', 'nyaman', 'blanja', 'disini', ',', 'yg', 'disayangkan', 'voucher', 'gratis', 'ongkir', '0', 'rp', 'gk', 'dipake', 'borong', 'barang', ',', 'limitnya', 'sampe', '3', 'barang', 'aja', '.', 'kecewa', 'sih']",udh nyaman blanja sini  yg sayang voucher gratis ongkir 0 rp gk dipake borong barang  limit sampe 3 barang aja  kecewa sih
"Aplikasi ini sudah baik & mudah untuk memantau pesanan kita, pertahankan dan jangan berhenti berinovasi untuk lebih maju ...Good Job 👍👍👍.",5,1,"aplikasi ini sudah baik & mudah untuk memantau pesanan kita, pertahankan dan jangan berhenti berinovasi untuk lebih maju ...good job 👍👍👍.","aplikasi & mudah memantau pesanan kita, pertahankan berhenti berinovasi maju ...good job 👍👍👍.","aplikasi & mudah memantau pesanan kita, pertahankan berhenti berinovasi maju ...good job .","['aplikasi', '&', 'mudah', 'memantau', 'pesanan', 'kita', ',', 'pertahankan', 'berhenti', 'berinovasi', 'maju', '...', 'good', 'job', '.']",aplikasi  mudah pantau pesan kita  tahan henti inovasi maju  good job 
Selama ini saya belanja merasa puas walupun ada sebagian kecil yg mengecewakan.karena ulah seller yg kurang amanah.pokoknya Shopee mantaplah🙏👍👍👍apalagi dgn opsi cod cek dulu..,5,1,selama ini saya belanja merasa puas walupun ada sebagian kecil yg mengecewakan.karena ulah seller yg kurang amanah.pokoknya shopee mantaplah🙏👍👍👍apalagi dgn opsi cod cek dulu..,belanja puas walupun yg mengecewakan.karena ulah seller yg amanah.pokoknya shopee mantaplah🙏👍👍👍apalagi dgn opsi cod cek dulu..,belanja puas walupun yg mengecewakan.karena ulah seller yg amanah.pokoknya shopee mantaplahapalagi dgn opsi cod cek dulu..,"['belanja', 'puas', 'walupun', 'yg', 'mengecewakan.karena', 'ulah', 'seller', 'yg', 'amanah.pokoknya', 'shopee', 'mantaplahapalagi', 'dgn', 'opsi', 'cod', 'cek', 'dulu', '..']",belanja puas walupun yg kecewa karena ulah seller yg amanah pokok shopee mantaplahapalagi dgn opsi cod cek dulu 
"halo shopee! ini kenapa ya apk sdh beberapa minggu ini beranda tidak muncul, hanya muncul ""tidak ada internet"". Please solusinya, cause sy suka dan sering melakukan pembelian disini, setiap mau mencari barang jadi sulit. tlong respon nya🙏",2,-1,"halo shopee! ini kenapa ya apk sdh beberapa minggu ini beranda tidak muncul, hanya muncul ""tidak ada internet"". please solusinya, cause sy suka dan sering melakukan pembelian disini, setiap mau mencari barang jadi sulit. tlong respon nya🙏","halo shopee! ya apk sdh minggu beranda muncul, muncul ""tidak internet"". please solusinya, cause sy suka pembelian disini, mencari barang sulit. tlong respon nya🙏","halo shopee! ya apk sdh minggu beranda muncul, muncul ""tidak internet"". please solusinya, cause sy suka pembelian disini, mencari barang sulit. tlong respon nya","['halo', 'shopee', '!', 'ya', 'apk', 'sdh', 'minggu', 'beranda', 'muncul', ',', 'muncul', '``', 'tidak', 'internet', ""''"", '.', 'please', 'solusinya', ',', 'cause', 'sy', 'suka', 'pembelian', 'disini', ',', 'mencari', 'barang', 'sulit', '.', 'tlong', 'respon', 'nya']",halo shopee  ya apk sdh minggu beranda muncul  muncul  tidak internet   please solusi  cause sy suka beli sini  cari barang sulit  tlong respon nya
"Berat sekali dan terkadang suka blank, udah gitu pas awal masuk apknya langsung ke video, ngeselin sumpah, benerinlah jadi males kalo gini mau belanjanya 🗿🗿",2,-1,"berat sekali dan terkadang suka blank, udah gitu pas awal masuk apknya langsung ke video, ngeselin sumpah, benerinlah jadi males kalo gini mau belanjanya 🗿🗿","berat terkadang suka blank, udah gitu pas masuk apknya langsung video, ngeselin sumpah, benerinlah males kalo gini belanjanya 🗿🗿","berat terkadang suka blank, udah gitu pas masuk apknya langsung video, ngeselin sumpah, benerinlah males kalo gini belanjanya ","['berat', 'terkadang', 'suka', 'blank', ',', 'udah', 'gitu', 'pas', 'masuk', 'apknya', 'langsung', 'video', ',', 'ngeselin', 'sumpah', ',', 'benerinlah', 'males', 'kalo', 'gini', 'belanjanya']",berat terkadang suka blank  udah gitu pas masuk apknya langsung video  ngeselin sumpah  benerinlah males kalo gin belanja
